Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675892155.2967637,0,77754,0,GPS1_Frame,42.338845000000006,71.08843,25.4,672041.7901449322,4689511.180141998,42.0,T
1675892156.2940612,0,77755,0,GPS1_Frame,42.33884833333333,71.08843333333333,25.1,672042.0556606303,4689511.557027823,42.0,T
1675892157.5015867,0,77756,0,GPS1_Frame,42.338853333333326,71.08843666666667,24.8,672042.316630856,4689512.118984332,42.0,T
1675892158.2941997,0,77757,0,GPS1_Frame,42.338858333333334,71.08844,24.6,672042.5776010369,4689512.680940853,42.0,T
1675892159.3119059,0,77758,0,GPS1_Frame,42.338860000000004,71.08844333333333,24.2,672042.8476620914,4689512.8727560425,42.0,T
1675892160.3119004,0,77800,0,GPS1_Frame,42.33886166666666,71.08844500000001,23.8,672042.9804198833,4689513.061198975,42.0,T
1675892161.2950933,0,77760,0,GPS1_Frame,42.33886166666666,71.08844666666667,23.6,672043.1177231355,4689513.06457124,42.0,T
1675892162.502546,0,77761,0,GPS1_Frame,42.33886166666666,71.08844833333333,23.4,672043.2550263834,4689513.067943507,42.0,T
1675892163.3130093,0,77762,0,GPS1_Frame,42.33886166666666,71.08844833333333,23.3,672043.2550263834,4689513.067943507,42.0,T
1675892164.2988136,0,77763,0,GPS1_Frame,42.33886333333333,71.08844833333333,23.3,672043.2504809122,4689513.253014179,42.0,T
1675892165.3119001,0,77764,0,GPS1_Frame,42.33886333333333,71.08845,23.4,672043.3877841608,4689513.256386449,42.0,T
1675892166.295189,0,77766,0,GPS1_Frame,42.338865000000006,71.08845,23.4,672043.3832386857,4689513.441457123,42.0,T
1675892167.5025227,0,77767,0,GPS1_Frame,42.338866666666675,71.08845166666667,23.5,672043.5159964518,4689513.629900069,42.0,T
1675892168.3178346,0,77768,0,GPS1_Frame,42.33887,71.08845500000001,23.6,672043.7815119599,4689514.006785966,42.0,T
1675892169.296547,0,77769,0,GPS1_Frame,42.33887166666667,71.08845666666666,23.7,672043.9142697016,4689514.195228919,42.0,T
1675892170.2968466,0,77770,0,GPS1_Frame,42.33887333333334,71.08845833333334,23.7,672044.0470274382,4689514.383671876,42.0,T
1675892171.3173416,0,77771,0,GPS1_Frame,42.338876666666664,71.08846166666667,23.5,672044.3125428848,4689514.760557797,42.0,T
1675892172.5254536,0,77772,0,GPS1_Frame,42.33888166666667,71.08846333333332,23.5,672044.4362095861,4689515.319142108,42.0,T
1675892173.3181481,0,77773,0,GPS1_Frame,42.338885,71.08846666666666,23.5,672044.7017249755,4689515.696028044,42.0,T
1675892174.295989,0,77774,0,GPS1_Frame,42.33888833333334,71.08847166666666,23.6,672045.1045435274,4689516.076286297,42.0,T
1675892175.2960246,0,77775,0,GPS1_Frame,42.33889333333333,71.088475,23.6,672045.3655133203,4689516.638242937,42.0,T
1675892176.3188653,0,77775,0,GPS1_Frame,42.338898333333326,71.08847833333333,23.7,672045.6264830644,4689517.200199586,42.0,T
1675892177.5255878,0,77776,0,GPS1_Frame,42.338903333333334,71.08848166666667,23.8,672045.8874527656,4689517.762156249,42.0,T
1675892178.3160386,0,77777,0,GPS1_Frame,42.33890833333333,71.088485,23.9,672046.148422422,4689518.324112923,42.0,T
1675892179.2969973,0,77778,0,GPS1_Frame,42.33891333333333,71.08848833333333,23.9,672046.4093920315,4689518.886069607,42.0,T
1675892180.296118,0,77779,0,GPS1_Frame,42.33891833333334,71.08849166666667,23.9,672046.6703616004,4689519.448026304,42.0,T
1675892181.3159406,0,77781,0,GPS1_Frame,42.338925,71.088495,23.9,672046.9267855418,4689520.195053685,42.0,T
1675892182.5231733,0,77782,0,GPS1_Frame,42.33893333333334,71.08850000000001,24.1,672047.315966935,4689521.130524106,42.0,T
1675892183.2970192,0,77783,0,GPS1_Frame,42.33894,71.08850000000001,24.3,672047.2977845736,4689521.870806807,42.0,T
1675892184.2965612,0,77784,0,GPS1_Frame,42.338946666666665,71.08850333333334,24.4,672047.5542083427,4689522.61783422,42.0,T
1675892185.2969341,0,77785,0,GPS1_Frame,42.33895333333333,71.08850833333332,24.7,672047.9479351002,4689523.368234008,42.0,T
1675892186.295963,0,77786,0,GPS1_Frame,42.33896,71.088515,25.0,672048.4789648087,4689524.1220062,42.0,T
1675892187.5034301,0,77787,0,GPS1_Frame,42.338966666666664,71.08852,25.3,672048.8726913771,4689524.872406049,42.0,T
1675892188.2976887,0,77788,0,GPS1_Frame,42.33896166666667,71.08851833333333,25.3,672048.7490252513,4689524.313821636,42.0,T
